"mtry","ntree","nodesize"
2,1000,10
3,1000,10
4,1000,10
5,1000,10
6,1000,10
7,1000,10
8,1000,10
9,1000,10
10,1000,10
11,1000,10
12,1000,10
13,1000,10
14,1000,10
15,1000,10
2,2000,10
3,2000,10
4,2000,10
5,2000,10
6,2000,10
7,2000,10
8,2000,10
9,2000,10
10,2000,10
11,2000,10
12,2000,10
13,2000,10
14,2000,10
15,2000,10
2,3000,10
3,3000,10
4,3000,10
5,3000,10
6,3000,10
7,3000,10
8,3000,10
9,3000,10
10,3000,10
11,3000,10
12,3000,10
13,3000,10
14,3000,10
15,3000,10
2,4000,10
3,4000,10
4,4000,10
5,4000,10
6,4000,10
7,4000,10
8,4000,10
9,4000,10
10,4000,10
11,4000,10
12,4000,10
13,4000,10
14,4000,10
15,4000,10
2,5000,10
3,5000,10
4,5000,10
5,5000,10
6,5000,10
7,5000,10
8,5000,10
9,5000,10
10,5000,10
11,5000,10
12,5000,10
13,5000,10
14,5000,10
15,5000,10
2,6000,10
3,6000,10
4,6000,10
5,6000,10
6,6000,10
7,6000,10
8,6000,10
9,6000,10
10,6000,10
11,6000,10
12,6000,10
13,6000,10
14,6000,10
15,6000,10
2,7000,10
3,7000,10
4,7000,10
5,7000,10
6,7000,10
7,7000,10
8,7000,10
9,7000,10
10,7000,10
11,7000,10
12,7000,10
13,7000,10
14,7000,10
15,7000,10
2,8000,10
3,8000,10
4,8000,10
5,8000,10
6,8000,10
7,8000,10
8,8000,10
9,8000,10
10,8000,10
11,8000,10
12,8000,10
13,8000,10
14,8000,10
15,8000,10
2,9000,10
3,9000,10
4,9000,10
5,9000,10
6,9000,10
7,9000,10
8,9000,10
9,9000,10
10,9000,10
11,9000,10
12,9000,10
13,9000,10
14,9000,10
15,9000,10
2,10000,10
3,10000,10
4,10000,10
5,10000,10
6,10000,10
7,10000,10
8,10000,10
9,10000,10
10,10000,10
11,10000,10
12,10000,10
13,10000,10
14,10000,10
15,10000,10
2,1000,20
3,1000,20
4,1000,20
5,1000,20
6,1000,20
7,1000,20
8,1000,20
9,1000,20
10,1000,20
11,1000,20
12,1000,20
13,1000,20
14,1000,20
15,1000,20
2,2000,20
3,2000,20
4,2000,20
5,2000,20
6,2000,20
7,2000,20
8,2000,20
9,2000,20
10,2000,20
11,2000,20
12,2000,20
13,2000,20
14,2000,20
15,2000,20
2,3000,20
3,3000,20
4,3000,20
5,3000,20
6,3000,20
7,3000,20
8,3000,20
9,3000,20
10,3000,20
11,3000,20
12,3000,20
13,3000,20
14,3000,20
15,3000,20
2,4000,20
3,4000,20
4,4000,20
5,4000,20
6,4000,20
7,4000,20
8,4000,20
9,4000,20
10,4000,20
11,4000,20
12,4000,20
13,4000,20
14,4000,20
15,4000,20
2,5000,20
3,5000,20
4,5000,20
5,5000,20
6,5000,20
7,5000,20
8,5000,20
9,5000,20
10,5000,20
11,5000,20
12,5000,20
13,5000,20
14,5000,20
15,5000,20
2,6000,20
3,6000,20
4,6000,20
5,6000,20
6,6000,20
7,6000,20
8,6000,20
9,6000,20
10,6000,20
11,6000,20
12,6000,20
13,6000,20
14,6000,20
15,6000,20
2,7000,20
3,7000,20
4,7000,20
5,7000,20
6,7000,20
7,7000,20
8,7000,20
9,7000,20
10,7000,20
11,7000,20
12,7000,20
13,7000,20
14,7000,20
15,7000,20
2,8000,20
3,8000,20
4,8000,20
5,8000,20
6,8000,20
7,8000,20
8,8000,20
9,8000,20
10,8000,20
11,8000,20
12,8000,20
13,8000,20
14,8000,20
15,8000,20
2,9000,20
3,9000,20
4,9000,20
5,9000,20
6,9000,20
7,9000,20
8,9000,20
9,9000,20
10,9000,20
11,9000,20
12,9000,20
13,9000,20
14,9000,20
15,9000,20
2,10000,20
3,10000,20
4,10000,20
5,10000,20
6,10000,20
7,10000,20
8,10000,20
9,10000,20
10,10000,20
11,10000,20
12,10000,20
13,10000,20
14,10000,20
15,10000,20
2,1000,30
3,1000,30
4,1000,30
5,1000,30
6,1000,30
7,1000,30
8,1000,30
9,1000,30
10,1000,30
11,1000,30
12,1000,30
13,1000,30
14,1000,30
15,1000,30
2,2000,30
3,2000,30
4,2000,30
5,2000,30
6,2000,30
7,2000,30
8,2000,30
9,2000,30
10,2000,30
11,2000,30
12,2000,30
13,2000,30
14,2000,30
15,2000,30
2,3000,30
3,3000,30
4,3000,30
5,3000,30
6,3000,30
7,3000,30
8,3000,30
9,3000,30
10,3000,30
11,3000,30
12,3000,30
13,3000,30
14,3000,30
15,3000,30
2,4000,30
3,4000,30
4,4000,30
5,4000,30
6,4000,30
7,4000,30
8,4000,30
9,4000,30
10,4000,30
11,4000,30
12,4000,30
13,4000,30
14,4000,30
15,4000,30
2,5000,30
3,5000,30
4,5000,30
5,5000,30
6,5000,30
7,5000,30
8,5000,30
9,5000,30
10,5000,30
11,5000,30
12,5000,30
13,5000,30
14,5000,30
15,5000,30
2,6000,30
3,6000,30
4,6000,30
5,6000,30
6,6000,30
7,6000,30
8,6000,30
9,6000,30
10,6000,30
11,6000,30
12,6000,30
13,6000,30
14,6000,30
15,6000,30
2,7000,30
3,7000,30
4,7000,30
5,7000,30
6,7000,30
7,7000,30
8,7000,30
9,7000,30
10,7000,30
11,7000,30
12,7000,30
13,7000,30
14,7000,30
15,7000,30
2,8000,30
3,8000,30
4,8000,30
5,8000,30
6,8000,30
7,8000,30
8,8000,30
9,8000,30
10,8000,30
11,8000,30
12,8000,30
13,8000,30
14,8000,30
15,8000,30
2,9000,30
3,9000,30
4,9000,30
5,9000,30
6,9000,30
7,9000,30
8,9000,30
9,9000,30
10,9000,30
11,9000,30
12,9000,30
13,9000,30
14,9000,30
15,9000,30
2,10000,30
3,10000,30
4,10000,30
5,10000,30
6,10000,30
7,10000,30
8,10000,30
9,10000,30
10,10000,30
11,10000,30
12,10000,30
13,10000,30
14,10000,30
15,10000,30
2,1000,40
3,1000,40
4,1000,40
5,1000,40
6,1000,40
7,1000,40
8,1000,40
9,1000,40
10,1000,40
11,1000,40
12,1000,40
13,1000,40
14,1000,40
15,1000,40
2,2000,40
3,2000,40
4,2000,40
5,2000,40
6,2000,40
7,2000,40
8,2000,40
9,2000,40
10,2000,40
11,2000,40
12,2000,40
13,2000,40
14,2000,40
15,2000,40
2,3000,40
3,3000,40
4,3000,40
5,3000,40
6,3000,40
7,3000,40
8,3000,40
9,3000,40
10,3000,40
11,3000,40
12,3000,40
13,3000,40
14,3000,40
15,3000,40
2,4000,40
3,4000,40
4,4000,40
5,4000,40
6,4000,40
7,4000,40
8,4000,40
9,4000,40
10,4000,40
11,4000,40
12,4000,40
13,4000,40
14,4000,40
15,4000,40
2,5000,40
3,5000,40
4,5000,40
5,5000,40
6,5000,40
7,5000,40
8,5000,40
9,5000,40
10,5000,40
11,5000,40
12,5000,40
13,5000,40
14,5000,40
15,5000,40
2,6000,40
3,6000,40
4,6000,40
5,6000,40
6,6000,40
7,6000,40
8,6000,40
9,6000,40
10,6000,40
11,6000,40
12,6000,40
13,6000,40
14,6000,40
15,6000,40
2,7000,40
3,7000,40
4,7000,40
5,7000,40
6,7000,40
7,7000,40
8,7000,40
9,7000,40
10,7000,40
11,7000,40
12,7000,40
13,7000,40
14,7000,40
15,7000,40
2,8000,40
3,8000,40
4,8000,40
5,8000,40
6,8000,40
7,8000,40
8,8000,40
9,8000,40
10,8000,40
11,8000,40
12,8000,40
13,8000,40
14,8000,40
15,8000,40
2,9000,40
3,9000,40
4,9000,40
5,9000,40
6,9000,40
7,9000,40
8,9000,40
9,9000,40
10,9000,40
11,9000,40
12,9000,40
13,9000,40
14,9000,40
15,9000,40
2,10000,40
3,10000,40
4,10000,40
5,10000,40
6,10000,40
7,10000,40
8,10000,40
9,10000,40
10,10000,40
11,10000,40
12,10000,40
13,10000,40
14,10000,40
15,10000,40
2,1000,50
3,1000,50
4,1000,50
5,1000,50
6,1000,50
7,1000,50
8,1000,50
9,1000,50
10,1000,50
11,1000,50
12,1000,50
13,1000,50
14,1000,50
15,1000,50
2,2000,50
3,2000,50
4,2000,50
5,2000,50
6,2000,50
7,2000,50
8,2000,50
9,2000,50
10,2000,50
11,2000,50
12,2000,50
13,2000,50
14,2000,50
15,2000,50
2,3000,50
3,3000,50
4,3000,50
5,3000,50
6,3000,50
7,3000,50
8,3000,50
9,3000,50
10,3000,50
11,3000,50
12,3000,50
13,3000,50
14,3000,50
15,3000,50
2,4000,50
3,4000,50
4,4000,50
5,4000,50
6,4000,50
7,4000,50
8,4000,50
9,4000,50
10,4000,50
11,4000,50
12,4000,50
13,4000,50
14,4000,50
15,4000,50
2,5000,50
3,5000,50
4,5000,50
5,5000,50
6,5000,50
7,5000,50
8,5000,50
9,5000,50
10,5000,50
11,5000,50
12,5000,50
13,5000,50
14,5000,50
15,5000,50
2,6000,50
3,6000,50
4,6000,50
5,6000,50
6,6000,50
7,6000,50
8,6000,50
9,6000,50
10,6000,50
11,6000,50
12,6000,50
13,6000,50
14,6000,50
15,6000,50
2,7000,50
3,7000,50
4,7000,50
5,7000,50
6,7000,50
7,7000,50
8,7000,50
9,7000,50
10,7000,50
11,7000,50
12,7000,50
13,7000,50
14,7000,50
15,7000,50
2,8000,50
3,8000,50
4,8000,50
5,8000,50
6,8000,50
7,8000,50
8,8000,50
9,8000,50
10,8000,50
11,8000,50
12,8000,50
13,8000,50
14,8000,50
15,8000,50
2,9000,50
3,9000,50
4,9000,50
5,9000,50
6,9000,50
7,9000,50
8,9000,50
9,9000,50
10,9000,50
11,9000,50
12,9000,50
13,9000,50
14,9000,50
15,9000,50
2,10000,50
3,10000,50
4,10000,50
5,10000,50
6,10000,50
7,10000,50
8,10000,50
9,10000,50
10,10000,50
11,10000,50
12,10000,50
13,10000,50
14,10000,50
15,10000,50
2,1000,60
3,1000,60
4,1000,60
5,1000,60
6,1000,60
7,1000,60
8,1000,60
9,1000,60
10,1000,60
11,1000,60
12,1000,60
13,1000,60
14,1000,60
15,1000,60
2,2000,60
3,2000,60
4,2000,60
5,2000,60
6,2000,60
7,2000,60
8,2000,60
9,2000,60
10,2000,60
11,2000,60
12,2000,60
13,2000,60
14,2000,60
15,2000,60
2,3000,60
3,3000,60
4,3000,60
5,3000,60
6,3000,60
7,3000,60
8,3000,60
9,3000,60
10,3000,60
11,3000,60
12,3000,60
13,3000,60
14,3000,60
15,3000,60
2,4000,60
3,4000,60
4,4000,60
5,4000,60
6,4000,60
7,4000,60
8,4000,60
9,4000,60
10,4000,60
11,4000,60
12,4000,60
13,4000,60
14,4000,60
15,4000,60
2,5000,60
3,5000,60
4,5000,60
5,5000,60
6,5000,60
7,5000,60
8,5000,60
9,5000,60
10,5000,60
11,5000,60
12,5000,60
13,5000,60
14,5000,60
15,5000,60
2,6000,60
3,6000,60
4,6000,60
5,6000,60
6,6000,60
7,6000,60
8,6000,60
9,6000,60
10,6000,60
11,6000,60
12,6000,60
13,6000,60
14,6000,60
15,6000,60
2,7000,60
3,7000,60
4,7000,60
5,7000,60
6,7000,60
7,7000,60
8,7000,60
9,7000,60
10,7000,60
11,7000,60
12,7000,60
13,7000,60
14,7000,60
15,7000,60
2,8000,60
3,8000,60
4,8000,60
5,8000,60
6,8000,60
7,8000,60
8,8000,60
9,8000,60
10,8000,60
11,8000,60
12,8000,60
13,8000,60
14,8000,60
15,8000,60
2,9000,60
3,9000,60
4,9000,60
5,9000,60
6,9000,60
7,9000,60
8,9000,60
9,9000,60
10,9000,60
11,9000,60
12,9000,60
13,9000,60
14,9000,60
15,9000,60
2,10000,60
3,10000,60
4,10000,60
5,10000,60
6,10000,60
7,10000,60
8,10000,60
9,10000,60
10,10000,60
11,10000,60
12,10000,60
13,10000,60
14,10000,60
15,10000,60
2,1000,70
3,1000,70
4,1000,70
5,1000,70
6,1000,70
7,1000,70
8,1000,70
9,1000,70
10,1000,70
11,1000,70
12,1000,70
13,1000,70
14,1000,70
15,1000,70
2,2000,70
3,2000,70
4,2000,70
5,2000,70
6,2000,70
7,2000,70
8,2000,70
9,2000,70
10,2000,70
11,2000,70
12,2000,70
13,2000,70
14,2000,70
15,2000,70
2,3000,70
3,3000,70
4,3000,70
5,3000,70
6,3000,70
7,3000,70
8,3000,70
9,3000,70
10,3000,70
11,3000,70
12,3000,70
13,3000,70
14,3000,70
15,3000,70
2,4000,70
3,4000,70
4,4000,70
5,4000,70
6,4000,70
7,4000,70
8,4000,70
9,4000,70
10,4000,70
11,4000,70
12,4000,70
13,4000,70
14,4000,70
15,4000,70
2,5000,70
3,5000,70
4,5000,70
5,5000,70
6,5000,70
7,5000,70
8,5000,70
9,5000,70
10,5000,70
11,5000,70
12,5000,70
13,5000,70
14,5000,70
15,5000,70
2,6000,70
3,6000,70
4,6000,70
5,6000,70
6,6000,70
7,6000,70
8,6000,70
9,6000,70
10,6000,70
11,6000,70
12,6000,70
13,6000,70
14,6000,70
15,6000,70
2,7000,70
3,7000,70
4,7000,70
5,7000,70
6,7000,70
7,7000,70
8,7000,70
9,7000,70
10,7000,70
11,7000,70
12,7000,70
13,7000,70
14,7000,70
15,7000,70
2,8000,70
3,8000,70
4,8000,70
5,8000,70
6,8000,70
7,8000,70
8,8000,70
9,8000,70
10,8000,70
11,8000,70
12,8000,70
13,8000,70
14,8000,70
15,8000,70
2,9000,70
3,9000,70
4,9000,70
5,9000,70
6,9000,70
7,9000,70
8,9000,70
9,9000,70
10,9000,70
11,9000,70
12,9000,70
13,9000,70
14,9000,70
15,9000,70
2,10000,70
3,10000,70
4,10000,70
5,10000,70
6,10000,70
7,10000,70
8,10000,70
9,10000,70
10,10000,70
11,10000,70
12,10000,70
13,10000,70
14,10000,70
15,10000,70
2,1000,80
3,1000,80
4,1000,80
5,1000,80
6,1000,80
7,1000,80
8,1000,80
9,1000,80
10,1000,80
11,1000,80
12,1000,80
13,1000,80
14,1000,80
15,1000,80
2,2000,80
3,2000,80
4,2000,80
5,2000,80
6,2000,80
7,2000,80
8,2000,80
9,2000,80
10,2000,80
11,2000,80
12,2000,80
13,2000,80
14,2000,80
15,2000,80
2,3000,80
3,3000,80
4,3000,80
5,3000,80
6,3000,80
7,3000,80
8,3000,80
9,3000,80
10,3000,80
11,3000,80
12,3000,80
13,3000,80
14,3000,80
15,3000,80
2,4000,80
3,4000,80
4,4000,80
5,4000,80
6,4000,80
7,4000,80
8,4000,80
9,4000,80
10,4000,80
11,4000,80
12,4000,80
13,4000,80
14,4000,80
15,4000,80
2,5000,80
3,5000,80
4,5000,80
5,5000,80
6,5000,80
7,5000,80
8,5000,80
9,5000,80
10,5000,80
11,5000,80
12,5000,80
13,5000,80
14,5000,80
15,5000,80
2,6000,80
3,6000,80
4,6000,80
5,6000,80
6,6000,80
7,6000,80
8,6000,80
9,6000,80
10,6000,80
11,6000,80
12,6000,80
13,6000,80
14,6000,80
15,6000,80
2,7000,80
3,7000,80
4,7000,80
5,7000,80
6,7000,80
7,7000,80
8,7000,80
9,7000,80
10,7000,80
11,7000,80
12,7000,80
13,7000,80
14,7000,80
15,7000,80
2,8000,80
3,8000,80
4,8000,80
5,8000,80
6,8000,80
7,8000,80
8,8000,80
9,8000,80
10,8000,80
11,8000,80
12,8000,80
13,8000,80
14,8000,80
15,8000,80
2,9000,80
3,9000,80
4,9000,80
5,9000,80
6,9000,80
7,9000,80
8,9000,80
9,9000,80
10,9000,80
11,9000,80
12,9000,80
13,9000,80
14,9000,80
15,9000,80
2,10000,80
3,10000,80
4,10000,80
5,10000,80
6,10000,80
7,10000,80
8,10000,80
9,10000,80
10,10000,80
11,10000,80
12,10000,80
13,10000,80
14,10000,80
15,10000,80
2,1000,90
3,1000,90
4,1000,90
5,1000,90
6,1000,90
7,1000,90
8,1000,90
9,1000,90
10,1000,90
11,1000,90
12,1000,90
13,1000,90
14,1000,90
15,1000,90
2,2000,90
3,2000,90
4,2000,90
5,2000,90
6,2000,90
7,2000,90
8,2000,90
9,2000,90
10,2000,90
11,2000,90
12,2000,90
13,2000,90
14,2000,90
15,2000,90
2,3000,90
3,3000,90
4,3000,90
5,3000,90
6,3000,90
7,3000,90
8,3000,90
9,3000,90
10,3000,90
11,3000,90
12,3000,90
13,3000,90
14,3000,90
15,3000,90
2,4000,90
3,4000,90
4,4000,90
5,4000,90
6,4000,90
7,4000,90
8,4000,90
9,4000,90
10,4000,90
11,4000,90
12,4000,90
13,4000,90
14,4000,90
15,4000,90
2,5000,90
3,5000,90
4,5000,90
5,5000,90
6,5000,90
7,5000,90
8,5000,90
9,5000,90
10,5000,90
11,5000,90
12,5000,90
13,5000,90
14,5000,90
15,5000,90
2,6000,90
3,6000,90
4,6000,90
5,6000,90
6,6000,90
7,6000,90
8,6000,90
9,6000,90
10,6000,90
11,6000,90
12,6000,90
13,6000,90
14,6000,90
15,6000,90
2,7000,90
3,7000,90
4,7000,90
5,7000,90
6,7000,90
7,7000,90
8,7000,90
9,7000,90
10,7000,90
11,7000,90
12,7000,90
13,7000,90
14,7000,90
15,7000,90
2,8000,90
3,8000,90
4,8000,90
5,8000,90
6,8000,90
7,8000,90
8,8000,90
9,8000,90
10,8000,90
11,8000,90
12,8000,90
13,8000,90
14,8000,90
15,8000,90
2,9000,90
3,9000,90
4,9000,90
5,9000,90
6,9000,90
7,9000,90
8,9000,90
9,9000,90
10,9000,90
11,9000,90
12,9000,90
