"combination","mtry","ntree","nodesize","thr_value","Sens_train","F1_train","B.Accuracy_train","TSS_train","AUC_train","Sens_test","F1_test","B.Accuracy_test","TSS_test","AUC_test"
1,2,1000,10,0.524708142124425,0.890347490347491,0.184543291185892,0.817240925373265,0.634481850746531,0.817240925373265,0.865625,0.179819852762232,0.806334480798383,0.612668961596766,0.806334480798383
2,3,1000,10,0.454306358242158,0.898069498069498,0.189879028413399,0.825344889203962,0.650689778407925,0.825344889203962,0.871875,0.184050821714783,0.81304715133906,0.62609430267812,0.81304715133906
3,4,1000,10,0.432255768843101,0.902702702702703,0.197687358774369,0.832573727914049,0.665147455828097,0.832573727914049,0.86875,0.19118190562819,0.817295667003537,0.634591334007074,0.817295667003537
4,5,1000,10,0.419586782374225,0.8996138996139,0.19950302748008,0.832872993499335,0.66574598699867,0.832872993499335,0.878125,0.19641094473886,0.824560226124305,0.649120452248611,0.824560226124305
5,6,1000,10,0.374829522544092,0.918146718146718,0.189747347511353,0.830900609988879,0.661801219977757,0.830900609988879,0.909375,0.187842605034716,0.827956827943406,0.655913655886812,0.827956827943406
6,7,1000,10,0.392295313998024,0.905791505791506,0.196899627091681,0.832085044472972,0.664170088945944,0.832085044472972,0.89375,0.193499788934704,0.826662771601819,0.653325543203638,0.826662771601819
7,8,1000,10,0.372798985074548,0.912741312741313,0.191761296418515,0.830357270842181,0.660714541684361,0.830357270842181,0.89375,0.189913488915176,0.82342881505811,0.64685763011622,0.82342881505811
8,9,1000,10,0.391889284035631,0.9003861003861,0.198596261944532,0.831162869614694,0.662325739229389,0.831162869614694,0.88125,0.195310872315687,0.823545667003537,0.647091334007074,0.823545667003537
9,10,1000,10,0.399066183095144,0.891891891891892,0.200638977340809,0.830123241058965,0.660246482117931,0.830123241058965,0.8875,0.200354997086159,0.830359398686205,0.66071879737241,0.830359398686205
10,11,1000,10,0.372932807421242,0.908108108108108,0.193066058599247,0.830490472793794,0.660980945587588,0.830490472793794,0.909375,0.194827244564804,0.833110946184942,0.666221892369884,0.833110946184942
11,12,1000,10,0.427134768283757,0.874903474903475,0.211076268244314,0.83185759677741,0.66371519355482,0.83185759677741,0.85625,0.209155435144835,0.824840512885296,0.649681025770591,0.824840512885296
12,13,1000,10,0.392681872264094,0.894980694980695,0.198400619845754,0.830808948323786,0.661617896647572,0.830808948323786,0.8875,0.199537636337577,0.829854092976251,0.659708185952501,0.829854092976251
13,14,1000,10,0.395972706144372,0.891891891891892,0.199569272975716,0.830653611055177,0.661307222110354,0.830653611055177,0.88125,0.200100132575578,0.828346071248105,0.65669214249621,0.828346071248105
14,15,1000,10,0.385791340213683,0.9003861003861,0.196537662406554,0.831377543184589,0.662755086369179,0.831377543184589,0.89375,0.198275631184032,0.831311584133401,0.662623168266801,0.831311584133401
15,2,2000,10,0.566923023327599,0.85945945945946,0.197933194583555,0.817632242673284,0.635264485346566,0.817632242673284,0.846875,0.195246331903709,0.812270243810005,0.62454048762001,0.812270243810005
16,3,2000,10,0.452052670415196,0.901930501930502,0.190532549323648,0.827098601135727,0.654197202271454,0.827098601135727,0.88125,0.185582744721363,0.817431467913087,0.634862935826175,0.817431467913087
17,4,2000,10,0.427638198527401,0.906563706563707,0.196441367607458,0.833039398426442,0.666078796852885,0.833039398426442,0.878125,0.191156825841765,0.820568311015664,0.641136622031329,0.820568311015664
18,5,2000,10,0.429408453934664,0.891891891891892,0.202455576575829,0.83252253389897,0.665045067797941,0.83252253389897,0.8625,0.196921824342177,0.819729029813037,0.639458059626074,0.819729029813037
19,6,2000,10,0.389746392585649,0.907335907335907,0.192880670850809,0.830622114546853,0.661244229093705,0.830622114546853,0.89375,0.191269820520974,0.825904813036888,0.651809626073775,0.825904813036888
20,7,2000,10,0.377284439920591,0.914285714285714,0.192285711989961,0.832164955892699,0.664329911785399,0.832164955892699,0.89375,0.188720134567259,0.823277223345124,0.646554446690248,0.823277223345124
21,8,2000,10,0.395466937011362,0.895752895752896,0.198456703152567,0.830109053003358,0.660218106006716,0.830109053003358,0.878125,0.197862238013025,0.82395385927236,0.647907718544719,0.82395385927236
22,9,2000,10,0.395424683041749,0.898841698841699,0.199579043891883,0.831969150974076,0.663938301948152,0.831969150974076,0.8875,0.197980604691544,0.828136053562405,0.65627210712481,0.828136053562405
23,10,2000,10,0.438086826792459,0.864864864864865,0.211597715224137,0.829060794599373,0.658121589198745,0.829060794599373,0.853125,0.211806317305899,0.825855072006064,0.651710144012128,0.825855072006064
24,11,2000,10,0.388339789739118,0.897297297297297,0.196788044978846,0.829934164496609,0.659868328993219,0.829934164496609,0.89375,0.197862332397626,0.831008400707428,0.662016801414856,0.831008400707428
25,12,2000,10,0.398869457162429,0.891891891891892,0.201128221829054,0.83128500390781,0.66257000781562,0.83128500390781,0.878125,0.200121672867135,0.826328796109146,0.652657592218292,0.826328796109146
26,13,2000,10,0.401053295909282,0.891891891891892,0.202099243651567,0.832181581758549,0.664363163517097,0.832181581758549,0.875,0.201728438336418,0.82683804951996,0.653676099039919,0.82683804951996
27,14,2000,10,0.421521122236607,0.877992277992278,0.207880431519986,0.830788031911911,0.661576063823823,0.830788031911911,0.865625,0.206976755823816,0.826950953764527,0.653901907529055,0.826950953764527
28,15,2000,10,0.376580237089982,0.905791505791506,0.19365913167886,0.830923281624128,0.661846563248255,0.830923281624128,0.896875,0.195404845966305,0.830145433299646,0.660290866599293,0.830145433299646
29,2,3000,10,0.556896102687429,0.868725868725869,0.194262689830144,0.818174021621427,0.636348043242853,0.818174021621427,0.846875,0.189386695589807,0.808429920414351,0.616859840828701,0.808429920414351
30,3,3000,10,0.466686929461416,0.893436293436293,0.194376634221558,0.826942922573684,0.653885845147368,0.826942922573684,0.878125,0.189849609747607,0.819759821879737,0.639519643759475,0.819759821879737
31,4,3000,10,0.433511261387854,0.901158301158301,0.198043711756318,0.832458175708586,0.664916351417172,0.832458175708586,0.865625,0.190908073976473,0.816238472713492,0.632476945426983,0.816238472713492
32,5,3000,10,0.419545264836942,0.898069498069498,0.199310596521538,0.832302838439977,0.664605676879954,0.832302838439977,0.865625,0.192902658335577,0.817754389843355,0.635508779686711,0.817754389843355
33,6,3000,10,0.422429038118272,0.887258687258687,0.202471631871849,0.830610023008053,0.661220046016106,0.830610023008053,0.875,0.200960057145458,0.82683804951996,0.653676099039919,0.82683804951996
34,7,3000,10,0.366119096572792,0.920463320463321,0.18937923664088,0.831414890437494,0.662829780874989,0.831414890437494,0.9,0.185934006037527,0.822612430520465,0.64522486104093,0.822612430520465
35,8,3000,10,0.404853988268178,0.891119691119691,0.200357969222404,0.830229627097918,0.660459254195837,0.830229627097918,0.890625,0.201415279612349,0.831517654118242,0.663035308236483,0.831517654118242
36,9,3000,10,0.386104645380285,0.901930501930502,0.19588730858243,0.829965124686681,0.659930249373361,0.829965124686681,0.89375,0.194635596959104,0.82731966902476,0.65463933804952,0.82731966902476
37,10,3000,10,0.412371930113382,0.881853281853282,0.203609411414615,0.829548941722196,0.659097883444392,0.829548941722196,0.878125,0.204770161490118,0.82961328322385,0.659226566447701,0.82961328322385
38,11,3000,10,0.384058321168206,0.8996138996139,0.196879600331787,0.829652889950907,0.659305779901815,0.829652889950907,0.89375,0.196438985688295,0.828128158160687,0.656256316321374,0.828128158160687
39,12,3000,10,0.397142318022494,0.893436293436294,0.200340866106534,0.831236393971588,0.662472787943176,0.831236393971588,0.884375,0.201243412045529,0.829403265538151,0.658806531076301,0.829403265538151
40,13,3000,10,0.402053560149324,0.891119691119691,0.201671660281736,0.83170708637308,0.663414172746159,0.83170708637308,0.88125,0.201839182919387,0.829154560384032,0.658309120768064,0.829154560384032
41,14,3000,10,0.390513685426194,0.897297297297297,0.197903958043981,0.830919137346717,0.661838274693433,0.830919137346717,0.890625,0.198989194830388,0.830810226124305,0.66162045224861,0.830810226124305
42,15,3000,10,0.375311397015956,0.906563706563706,0.193667008175281,0.831132592011491,0.662265184022982,0.831132592011491,0.9,0.196015762305181,0.831606872157655,0.663213744315311,0.831606872157655
43,2,4000,10,0.555986759454744,0.868725868725869,0.194073364912459,0.817845697338058,0.635691394676115,0.817845697338058,0.846875,0.189502275932515,0.808379389843355,0.61675877968671,0.808379389843355
44,3,4000,10,0.447851899595321,0.905019305019305,0.18943665530102,0.827304449832547,0.654608899665094,0.827304449832547,0.875,0.182894036451122,0.813093734209197,0.626187468418393,0.813093734209197
45,4,4000,10,0.440187502735374,0.896525096525097,0.199956694155763,0.832250425519778,0.664500851039555,0.832250425519778,0.86875,0.193501499882144,0.819316889843355,0.638633779686711,0.819316889843355
46,5,4000,10,0.410388011060897,0.904247104247104,0.196666254166603,0.8323988394073,0.6647976788146,0.8323988394073,0.878125,0.19246181012007,0.821528391864578,0.643056783729156,0.821528391864578
47,6,4000,10,0.392014614166193,0.908108108108108,0.194300766357656,0.831854281355481,0.663708562710962,0.831854281355481,0.896875,0.192015097512058,0.827366251894897,0.654732503789793,0.827366251894897
48,7,4000,10,0.363252932034478,0.922007722007722,0.188680293723924,0.83135365264422,0.662707305288439,0.83135365264422,0.909375,0.186728043029504,0.826339849671551,0.652679699343103,0.826339849671552
49,8,4000,10,0.395902727726572,0.897297297297297,0.198567725082873,0.830578185206295,0.66115637041259,0.830578185206295,0.884375,0.196355891864682,0.824956575290551,0.649913150581101,0.824956575290551
50,9,4000,10,0.413155281230858,0.884169884169884,0.204125145090814,0.830467313596497,0.660934627192993,0.830467313596496,0.875,0.203625783252416,0.827545477513896,0.655090955027792,0.827545477513896
51,10,4000,10,0.399259105723511,0.891119691119691,0.199873934562087,0.829926558528655,0.659853117057309,0.829926558528655,0.89375,0.201754326332971,0.833383337544214,0.666766675088429,0.833383337544214
52,11,4000,10,0.380027753343432,0.9003861003861,0.19533130682233,0.829142412486269,0.658284824972538,0.829142412486269,0.884375,0.193436078341557,0.823086944163719,0.646173888327438,0.823086944163719
53,12,4000,10,0.419536992619309,0.878764478764479,0.207949797662632,0.830694273730011,0.661388547460021,0.830694273730011,0.865625,0.206107402912671,0.825131853208691,0.650263706417382,0.825131853208691
54,13,4000,10,0.418132730766385,0.88030888030888,0.20654603422902,0.831352823788737,0.662705647577475,0.831352823788737,0.871875,0.207573218431221,0.829974892622536,0.659949785245073,0.829974892622536
55,14,4000,10,0.406743389005415,0.887258687258687,0.203242645474947,0.831153020861317,0.662306041722635,0.831153020861317,0.88125,0.204675769481607,0.830923130368873,0.661846260737746,0.830923130368873
56,15,4000,10,0.381543613764419,0.902702702702703,0.195221228109104,0.831121524352993,0.662243048705986,0.831121524352993,0.89375,0.19714514982772,0.830755747852451,0.661511495704901,0.830755747852451
57,2,5000,10,0.551450959447832,0.87027027027027,0.191674966992519,0.816799486694676,0.633598973389351,0.816799486694675,0.853125,0.187098968157526,0.808927330722587,0.617854661445174,0.808927330722587
58,3,5000,10,0.476225480445926,0.888030888030888,0.197457373413136,0.827460323419409,0.654920646838818,0.827460323419409,0.865625,0.191450762205253,0.816642717281455,0.633285434562911,0.816642717281455
59,4,5000,10,0.427719464759926,0.905019305019305,0.196788014535066,0.832848079078664,0.665696158157328,0.832848079078664,0.871875,0.190179671288595,0.817898086154624,0.635796172309247,0.817898086154624
60,5,5000,10,0.424494463438448,0.896525096525097,0.200929423526994,0.832755539801884,0.665511079603768,0.832755539801884,0.875,0.197775427671172,0.824412582112178,0.648825164224356,0.824412582112178
